Clave,Concepto,Unidad
,"COLOCACIÓN, MANO DE OBRA, EQUIPO Y",
,HERRAMIENTA. NOTA: INTERIORES,
CRTC-ELC-015,LUMINARIA DE EMPOTRAR EN TECHO MODELO,PZA
,"DN016B, MARCA PHILIPS; LUZ FRIA, 20 WATTS.",
,"INCLUYE: SUMINISTRO Y COLOCACIÓN, MANO DE",
,"OBRA, EQUIPO Y HERRAMIENTA. NOTA:",
,EXTERIORES Y DOBLE ALTURA,
CRTC-ELC-016,"ARBOTANTE INTERIOR LUPI II 15ETLED18MVCCN,",PZA
,"LUZ BLANCA DE 15 W, MARCA TECNOLITE.",
,"INCLUYE: SUMINISTRO Y COLOCACIÓN, MANO DE",
,"OBRA, EQUIPO Y HERRAMIENTA",
CRTC-ELC-017,"ARBOTANTE INTERIOR FEZ 60TL1890MVOP,",PZA
,MARCA TECNOLITE. INCLUYE: SUMINISTRO Y,
,"COLOCACIÓN, MANO DE OBRA, EQUIPO Y",
,HERRAMIENTA. RECÁMARAS,
CRTC-ELC-018,ARBOTANTE EXTERIOR TOLEDO I H-1075/AN CON,PZA
,"FOCO LED A19-LED/012/30, LUZ CALIDA, MARCA",
,TECNOLITE. INCLUYE: SUMINISTRO Y,
,"COLOCACIÓN, MANO DE OBRA, EQUIPO Y",
,HERRAMIENTA,
CRTC-ELC-019,SUMINISTRO Y COLOCACIÓN DE TIRA LED TIPO,M
,MANGUERA NEON MODELO QOPQ16-21 3000K.,
,MARCA TOTALITE. INCLUYE: SUMINISTRO Y,
,"COLOCACIÓN, DRIVER, MANO DE OBRA, EQUIPO",
,Y HERRAMIENTA.,
CRTC-ELC-020,LAMPARA COCINA IRENA II 60CTL8324MVDCA,PZA
,"CON FOCO LED 4DTLED12FL22VCT, LUZ AMBAR",
,MARCA TECNOLITE.,
9,TOTAL INSTALACION ELÉCTRICA,
10,INSTALACION PLUVIAL,
CRTC-PLU-001,SUMINISTRO Y COLOCACION DE BAJANTE,PZA
,"PLUVIAL DE TUBO PVC DE 4"" DE 0.00 A 6.50 M DE",
,"ALTURA, INCLUYE: ARMEX 15X15 POR AMBOS",
,"LADOS, CODOS, CONEXIONES PARA FIJACION A",
,"ESTRUCTURA, ANDAMIOS Y MANO DE OBRA",
CRTC-PLU-002,"SALIDA PLUVIAL DE PVC SANITARIO DE 4"" DE",SAL
,DIAMETRO PARA REJILLAS EN JARDINES.,
,"INCLUYE: EXCAVACIONES HASTA 50 CM,",
,"PEGAMENTO, CONEXIONES, TUBERIA, MANO DE",
,OBRA Y HERRAMIENTAS NECESARIAS PARA SU,
,CORRECTA INSTALACIÓN.,
CRTC-PLU-003,"REGISTRO PLUVIAL DE 0.60X0.40X0.60 M,",PZA
,TABIQUE DE BARRO ROJO RECOCIDO DE 15 CM,
,DE ESPESOR ACABADO COMÚN DE 10X14X28,
,"CM., ASENTADO CON MEZCLA MORTERO",
,"CEM-ARENA EN PROP. 1:5, CON ESPESOR DE",
,"JUNTA 2 CM, CON ACABADO PULIDO EN",
,"INTERIOR. INCLUYE: TRAZO, EXCAVACION,",
,"MATERIAL, MANO DE OBRA, HERRAMIENTA Y",
,RETIRO DE SOBRANTES,
CRTC-PLU-004,TENDIDO DE TUBERÍA PLUVIAL DE PVC,M
,"SANITARIO DE 4"" DE DIAMETRO. INCLUYE:",
,"PEGAMENTO, CONEXIONES, TUBERIA, MANO DE",
,OBRA Y HERRAMIENTAS NECESARIAS PARA SU,
,CORRECTA INSTALACIÓN.,
10,TOTAL INSTALACION PLUVIAL,
11,INSTALACION DE GAS,
CRTC-GAS-001,TANQUE DE GAS ESTACIONARIO Y LINEA DE,PZA
,"LLENADO, CON TUBERIA DE COBRE TIPO L DE 1""",
,"Y DESARROLLO DE 12 M. INCLUYE: CONEXIONES,",
,"VÁLVULAS, MANO DE OBRA, EQUIPO Y",
,HERRAMIENTA.,
CRTC-GAS-002,"SALIDA DE GAS DE 1/2"". INCLUYE: MATERIALES,",PZA
,"MANO DE OBRA, EQUIPO Y HERRAMIENTA.",
11,TOTAL INSTALACION DE GAS,
12,INSTALACIONES ESPECIALES,
CRTC-ESP-001,SALIDA PARA TELEVISION. INCLUYE: PLACA DE 3,PZA
,"MODULOS HC-E723BLA3, TOMA COAXIAL",
,"HC-E70113-BL, Y 2 TAPONES CIEGOS",
,"HC-E70111-BL, MARCA ESTEVES, LINEA OMEGA;",
,"MANO DE OBRA, HERRAMIENTA, RANURADO EN",
,"MURO, LIMPIEZA DE AREA Y TODO LO",
,NECESARIO PARA SU CORRECTA EJECUCIÓN,
CRTC-ESP-003,DUCTERÍA PARA INSTALACIÓN DE EQUIPO DE,PZA
,AIRE ACONDICIONADO EN TUBO DE PVC,
,"SANITARIO DE 3"". INCLUYE: SUMINISTRO Y",
,"COLOCACIÓN DE TUBO, MANO DE OBRA, EQUIPO",
,Y HERRAMIENTA.,
12,TOTAL INSTALACIONES ESPECIALES,
13,ACABADOS,
CRTC-ACA-001,PINTURA VINILICA LINEA MULTITONO PRO MARCA,M2
,"BEREL EN MUROS, TRABAJO TERMINADO,",
,CUALQUIER ALTURA. INCLUYE: SUMINISTRO Y,
,"APLICACIÓN DE PINTURA, PREPARACION DE LA",
,"SUPERFICIE, REBABEAR, PLASTE NECESARIO,",
,"SELLADOR, ANDAMIOS, LIMPIEZA Y RETIRO",
,DESOBRANTES FUERA DE LA OBRA.,
CRTC-ACA-002,PINTURA VINILICA LINEA MULTITONO PRO MARCA,M2
,"BEREL EN PLAFONES, TRABAJO TERMINADO,",
,CUALQUIER ALTURA. INCLUYE: SUMINISTRO Y,
,"APLICACIÓN DE PINTURA, PREPARACION DE LA",
,"SUPERFICIE, REBABEAR, PLASTE NECESARIO,",
,"SELLADOR, ANDAMIOS, LIMPIEZA Y RETIRO DE",
,SOBRANTES FUERA DE LA OBRA.,
CRTC-ACA-003,SUMINISTRO Y COLOCACION DE PASTO.INCLUYE:,M2
,"INSTALACION, TIERRA VEGETA, NIVELACIÓN Y",
,LIMPIEZA,
CRTC-ACA-004,"PISO DURABODY, RUBIERA CASTAÑO DE 15x50",M2
,"CM, ACABADO MATE, ESTILO MADERA, MARCA",
,"INTERCERAMIC, ASENTADO CON PEGAPISO.",
,"INCLUYE: SUMINISTRO Y COLOCACIÓN,",
,"ACARREOS, CORTES, JUNTEADOR, ANCLAS Y",
,"CUÑAS MARCA TRUPER, MANO DE OBRA, EQUIPO",
,Y HERRAMIENTA. NOTA: PISO GENERAL.,
CRTC-ACA-005,"ZOCLO PISO DURABODY, RUBIERA CASTAÑO DE",M
,"15x50 CM, ACABADO MATE, ESTILO MADERA,",
,"MARCA INTERCERAMIC, ASENTADO CON",
,PEGAPISO. INCLUYE: SUMINISTRO Y,
,"COLOCACIÓN, ACARREOS, CORTES, JUNTEADOR,",
,"ANCLAS Y CUÑAS MARCA TRUPER, MANO DE",
,"OBRA, EQUIPO Y HERRAMIENTA. NOTA: PISO",
,GENERAL.,
CRTC-ACA-006,"FORRADO DE REPISÓN DE 3.00 M DE LARGO,",PZA
,"CON PISO DURABODY, RUBIERA CASTAÑO DE",
,"15x50 CM, ACABADO MATE, ESTILO MADERA,",
,"MARCA INTERCERAMIC, ASENTADO CON",
,"PEGAPISO. INCLUYE: VISTA FRONTAL,",
,"SUMINISTRO Y COLOCACIÓN, ACARREOS,",
,"CORTES, JUNTEADOR, ANCLAS Y CUÑAS MARCA",
,"TRUPER, MANO DE OBRA, EQUIPO Y",
,HERRAMIENTA. NOTA: COCINA,
CRTC-ACA-007,"FORRADO DE REPISÓN DE 2.78 M DE LARGO,",PZA
,"CON PISO DURABODY, RUBIERA CASTAÑO DE",
,"15x50 CM, ACABADO MATE, ESTILO MADERA,",
,"MARCA INTERCERAMIC, ASENTADO CON",
,"PEGAPISO. INCLUYE: VISTA FRONTAL,",
,"SUMINISTRO Y COLOCACIÓN, ACARREOS,",
,"CORTES, JUNTEADOR, ANCLAS Y CUÑAS MARCA",
,"TRUPER, MANO DE OBRA, EQUIPO Y",
,HERRAMIENTA. NOTA: CLOSET DE RECÁMARA 1.,
CRTC-ACA-008,PISO DURABODY MODELO NOVATERRA SABBIA,M2
,"DE 60x120 CM, ACABADO MATE, ESTILO PIEDRA,",
,"MARCA INTERCERAMIC, ASENTADO CON",
,PEGAPISO. INCLUYE: SUMINISTRO Y,
,"COLOCACIÓN, ACARREOS, CORTES, JUNTEADOR,",
,"ANCLAS Y CUÑAS MARCA TRUPER, MANO DE",
,"OBRA, EQUIPO Y HERRAMIENTA. NOTA: BAÑO",
,RECÁMARA 1,
CRTC-ACA-009,"CHAROLA DE REGADERA DE 1.58 M2, CON PISO",PZA
,DURABODY MODELO NOVATERRA SABBIA DE,
,"60x120 CM, ACABADO MATE, ESTILO PIEDRA,",
,MARCA INTERCERAMIC. INCLUYE: SUMINISTRO Y,
,"COLOCACIÓN, ACARREOS, CORTES, JUNTEADOR,",
,"ANCLAS Y CUÑAS MARCA TRUPER, MANO DE",
,"OBRA, EQUIPO Y HERRAMIENTA. NOTA: BAÑO",
,RECÁMARA 1,
CRTC-ACA-010,"AZULEJO CERÁMICO MYLO DE 60x60 CM,",M2
,"RECTIFICADO, TIPO MARMOL, ACABADO MATE,",
,MARCA CESANTONI. INCLUYE: SUMINISTRO Y,
,"COLOCACIÓN, ACARREOS, CORTES, JUNTEADOR,",
,"ANCLAS Y CUÑAS MARCA TRUPER, MANO DE",
,"OBRA, EQUIPO Y HERRAMIENTA. NOTA: BAÑO",
,RECÁMARA 1,
CRTC-ACA-011,FORRADO DE JABONERA 0.30 M DE LARGO POR,PZA
,0.35 M DE ALTO; CON AZULEJO CERÁMICO MYLO,
,"DE 60x60 CM, RECTIFICADO, TIPO MARMOL,",
,"ACABADO MATE, MARCA CESANTONI. INCLUYE:",
,"SUMINISTRO Y COLOCACIÓN, ACARREOS,",
,"CORTES, JUNTEADOR, ANCLAS Y CUÑAS MARCA",
,"TRUPER, MANO DE OBRA, EQUIPO Y",
,HERRAMIENTA. NOTA: BAÑO RECÁMARA 1,
CRTC-ACA-012,AZULEJO CERÁMICO BRERA MARFIL DE 60x60,M2
,"CM, DURABODY, ACABADO MATE, MARCA",
,INTERCERAMIC. INCLUYE: SUMINISTRO Y,
,"COLOCACIÓN, ACARREOS, CORTES, JUNTEADOR,",
,"ANCLAS Y CUÑAS MARCA TRUPER, MANO DE",
,"OBRA, EQUIPO Y HERRAMIENTA. NOTA: BAÑO",
,RECÁMARA 1,
CRTC-ACA-013,FORRADO DE BARRA DE SUPERFICIE 0.93 x 0.50,PZA
,"M, CON PISO DURABODY NOVATERRA IVORY DE",
,"60x120 CM, ACABADO MATE, MARCA",
,INTERCERAMIC. INCLUYE: SUMINISTRO Y,
,"COLOCACIÓN, ACARREOS, CORTES, VISTAS,",
,"JUNTEADOR, ANCLAS Y CUÑAS MARCA TRUPER,",
,"MANO DE OBRA, EQUIPO Y HERRAMIENTA. NOTA:",
,BAÑO RECÁMARA 1,
CRTC-ACA-014,"FORRADO DE REPISÓN DE 2.00 M DE LARGO,",PZA
,"CON PISO DURABODY, RUBIERA CASTAÑO DE",
,"15x50 CM, ACABADO MATE, ESTILO MADERA,",
,"MARCA INTERCERAMIC, ASENTADO CON",
,"PEGAPISO. INCLUYE: VISTA FRONTAL,",
,"SUMINISTRO Y COLOCACIÓN, ACARREOS,",
,"CORTES, JUNTEADOR, ANCLAS Y CUÑAS MARCA",
,"TRUPER, MANO DE OBRA, EQUIPO Y",
,HERRAMIENTA. NOTA: CLOSET DE RECÁMARA 1.,
CRTC-ACA-015,PISO DURABODY MODELO NOVATERRA SABBIA,M2
,"DE 60x120 CM, ACABADO MATE, ESTILO PIEDRA,",
,"MARCA INTERCERAMIC, ASENTADO CON",
,PEGAPISO. INCLUYE: SUMINISTRO Y,
,"COLOCACIÓN, ACARREOS, CORTES, JUNTEADOR,",
,"ANCLAS Y CUÑAS MARCA TRUPER, MANO DE",
,"OBRA, EQUIPO Y HERRAMIENTA. NOTA: BAÑO",
,RECÁMARA 2,
CRTC-ACA-016,"CHAROLA DE REGADERA DE 1.50 M2, CON PISO",PZA
,DURABODY MODELO NOVATERRA SABBIA DE,
,"60x120 CM, ACABADO MATE, ESTILO PIEDRA,",
,MARCA INTERCERAMIC. INCLUYE: SUMINISTRO Y,
,"COLOCACIÓN, ACARREOS, CORTES, JUNTEADOR,",
,"ANCLAS Y CUÑAS MARCA TRUPER, MANO DE",
,"OBRA, EQUIPO Y HERRAMIENTA. NOTA: BAÑO",
,RECÁMARA 2,
CRTC-ACA-017,FORRADO DE JABONERA DE 1.58 M DE LARGO,PZA
,POR 0.30 M DE ALTO; CON AZULEJO CERÁMICO,
,"MYLO DE 60x60 CM, RECTIFICADO, TIPO MARMOL,",
,"ACABADO MATE, MARCA CESANTONI. INCLUYE:",
,"SUMINISTRO Y COLOCACIÓN, ACARREOS,",
,"CORTES, JUNTEADOR, ANCLAS Y CUÑAS MARCA",
,"TRUPER, MANO DE OBRA, EQUIPO Y",
,HERRAMIENTA. NOTA: BAÑO RECÁMARA 2,
CRTC-ACA-018,"AZULEJO CERÁMICO MYLO DE 60x60 CM,",M2
,"RECTIFICADO, TIPO MARMOL, ACABADO MATE,",
,MARCA CESANTONI. INCLUYE: SUMINISTRO Y,
,"COLOCACIÓN, ACARREOS, CORTES, JUNTEADOR,",
,"ANCLAS Y CUÑAS MARCA TRUPER, MANO DE",
,"OBRA, EQUIPO Y HERRAMIENTA. NOTA: BAÑO",
,RECÁMARA 2,
CRTC-ACA-019,AZULEJO CERÁMICO BRERA MARFIL DE 60x60,M2
,"CM, DURABODY, ACABADO MATE, MARCA",
,INTERCERAMIC. INCLUYE: SUMINISTRO Y,
,"COLOCACIÓN, ACARREOS, CORTES, JUNTEADOR,",
,"ANCLAS Y CUÑAS MARCA TRUPER, MANO DE",
,"OBRA, EQUIPO Y HERRAMIENTA. NOTA: BAÑO",
,RECÁMARA 2,
CRTC-ACA-020,FORRADO DE BARRA DE SUPERFICIE 1.00 x 0.60,PZA
,"M, CON PISO DURABODY NOVATERRA SABBIA DE",
,"60x120 CM, ACABADO MATE, MARCA",
,INTERCERAMIC. INCLUYE: SUMINISTRO Y,
,"COLOCACIÓN, ACARREOS, CORTES, VISTAS,",
,"JUNTEADOR, ANCLAS Y CUÑAS MARCA TRUPER,",
,"MANO DE OBRA, EQUIPO Y HERRAMIENTA. NOTA:",
,BAÑO RECÁMARA 2,
CRTC-ACA-021,"PISO DURABODY BRERA MARFIL DE 60x60 CM,",M2
,"ACABADO MATE, MARCA INTERCERAMIC.",
,"INCLUYE: SUMINISTRO Y COLOCACIÓN,",
,"ACARREOS, CORTES, VISTAS, JUNTEADOR,",
,"ANCLAS Y CUÑAS MARCA TRUPER, MANO DE",
,"OBRA, EQUIPO Y HERRAMIENTA. NOTA: BAÑO DE",
,VISITAS,
CRTC-ACA-022,AZULEJO RECTIFICADO BLISS SATIN WHITE DE,M2
,"30x60 CM, 3D, BLANCO SOLIDO, ACABADO",
,SATINADO. INCLUYE: SUMINISTRO Y,
,"COLOCACIÓN, ACARREOS, CORTES, JUNTEADOR,",
,"ANCLAS Y CUÑAS MARCA TRUPER, MANO DE",
,"OBRA, EQUIPO Y HERRAMIENTA. NOTA: BAÑO DE",
,VISITAS.,
CRTC-ACA-023,AZULEJO ELARA RECTIFICADO IVORY DE 60x120,M2
,"CM, DURABODY ESTILO MARMOL, ACABADO",
,BRILLANTE. INCLUYE: SUMINISTRO Y,
,"COLOCACIÓN, ACARREOS, CORTES, JUNTEADOR,",
,"ANCLAS Y CUÑAS MARCA TRUPER, MANO DE",
,"OBRA, EQUIPO Y HERRAMIENTA. NOTA: BAÑO DE",
,VISITAS.,
CRTC-ACA-024,FORRADO DE BARRA DE SUPERFICIE 0.60 x 0.60,PZA
,"M, CON PISO DURABODY ELARA RECTIFICADO",
,"IVORY DE 60x120 CM, ACABADO BRILLANTE,",
,MARCA INTERCERAMIC. INCLUYE: SUMINISTRO Y,
,"COLOCACIÓN, ACARREOS, CORTES, VISTAS,",
,"JUNTEADOR, ANCLAS Y CUÑAS MARCA TRUPER,",
,"MANO DE OBRA, EQUIPO Y HERRAMIENTA. NOTA:",
,BAÑO DE VISITAS,
CRTC-ACA-025,PISO DURABODY NOVATERRA IVORY DE 60x120,M2
,"CM, RECTIFICADO, ESTILO PIEDRA, ACABADO",
,"MATE, FORMATO EXTRA GRANDE DE 60x120 CM,",
,"MARCA INTERCERAMIC, ASENTADO CON",
,PEGAPISO. INCLUYE: SUMINISTRO Y,
,"COLOCACIÓN, ACARREOS, CORTES, JUNTEADOR,",
,"ANCLAS Y CUÑAS MARCA TRUPER, MANO DE",
,"OBRA, EQUIPO Y HERRAMIENTA. NOTA:",
,EXTERIOR Y PATIO DE SERVICIO,
CRTC-ACA-026,ZOCLO DEPISO DURABODY NOVATERRA IVORY,M
,"DE 60x120 CM, RECTIFICADO, ESTILO PIEDRA,",
,"ACABADO MATE, FORMATO EXTRA GRANDE DE",
,"60x120 CM, MARCA INTERCERAMIC, ASENTADO",
,CON PEGAPISO. INCLUYE: SUMINISTRO Y,
,"COLOCACIÓN, ACARREOS, CORTES, JUNTEADOR,",
,"ANCLAS Y CUÑAS MARCA TRUPER, MANO DE",
,"OBRA, EQUIPO Y HERRAMIENTA. NOTA:",
,EXTERIOR Y PATIO DE SERVICIO,
CRTC-ACA-027,BOQUILLA CORTE A 45 DEPISO DURABODY,M
,"NOVATERRA IVORY DE 60x120 CM, RECTIFICADO,",
,"ESTILO PIEDRA, ACABADO MATE, FORMATO",
,"EXTRA GRANDE DE 60x120 CM, MARCA",
,"INTERCERAMIC, ASENTADO CON PEGAPISO.",
,"INCLUYE: SUMINISTRO Y COLOCACIÓN,",
,"ACARREOS, CORTES, JUNTEADOR, ANCLAS Y",
,"CUÑAS MARCA TRUPER, MANO DE OBRA, EQUIPO",
,Y HERRAMIENTA. NOTA: EXTERIOR Y PATIO DE,
,SERVICIO,
CRTC-ACA-029,CONCRETO EN MURO DE FACHADA JARDINERA,M2
13,TOTAL ACABADOS,
14,MUEBLES Y ACCESORIOS DE BAÑO,
CRTC-MAB-001,"SANITARIO DE UNA PIEZA, LÍNEA DAVOS, MARCA",PZA
,"INTERCERAMIC; DOBLE DESCARGA, CON",
,VÁLVULAS Y ASIENTO DE CIERRE LENTO.,
,"INCLUYE: SUMINISTRO Y COLOCACIÓN, MANO DE",
,"OBRA, EQUIPO Y HERRAMIENTA.",
CRTC-MAB-002,LAVABO PARA BAÑO  KUUN 1 TAL,PZA
,INC/MONOMANDO FIG.LV1003A021 URREA.,
,"INCLUYE: SUMINISTRO Y COLOCACIÓN, CONTRA",
,"PUSH, SIN REBOSADERO PARA LAVABO, CESPOL",
,"MARCA URREA,Y ACCESORIOS, MANO DE OBRA,",
,EQUIPO Y HERRAMIENTA.,
CRTC-MAB-004,CONJUNTO DE REGADERA LINEA NIAGARA,PZA
,"TERMINADO EN CROMO PULIDO, MARCA",
,INTERCEAMIC. INCLUYE: SUMINISTRO Y,
,"COLOCACIÓN, LLAVE MONOMANDO, BRAZO Y",
,CHAPETÓN.,
CRTC-MAB-005,TARJA DE ACERO INOXIDABLE CON ESCURRIDOR,PZA
,IZQUIERDO TS7545-2N. INCLUYE: SUMINISTRO Y,
,"COLOCACIÓN, COLADOR, TAPETE DE SILICÓN,",
,"LLAVE MONOMANDO CON ROCIADOR EXTRAIBLE,",
,"INCLUYE; CESPOL, LLAVES ANGULARES MANO",
,DE OBRA Y HERRAMIENTA.,
CRTC-MAB-010,SUMINISTRO Y COLOCACION DE KIT URREA 1002,PZA
,CL JUEGO DE 4 PIEZAS DE ACCESORIOS,
,"MODERNOS PARA BAÑO, LATÓN Y ACERO",
,INOXIDABLE CROMADOS,
14,TOTAL MUEBLES Y ACCESORIOS DE BAÑO,
15,7. ALUMINIOS Y CRISTAL,
CRTC-ALUM-001,"V1- VENTANA DE 1.25 x 1.20 (a x h), COMPUESTO",PZA
,POR DOS CORREDIZOS CON JALADERA DE,
,EMBUTIR; EN ALUMINIO NEGRO CON CRISTAL,
,CLARO DE 6 mm. INCLUYE: SUMINISTRO Y,
,"COLOCACIÓN, MANO DE OBRA Y HERRAMIENTA.",
,(RECAMARA),
CRTC-ALUM-002,"V2- VENTANAL DE 1.00 x 0.50 (a x h), COMPUESTO",PZA
,POR DOS CORREDIZOS CON JALADERA DE,
,EMBUTIR EN ALUMINIO NEGRO CON CRISTAL,
,CLARO DE 6 mm. INCLUYE: SUMINISTRO Y,
,"COLOCACIÓN, MANO DE OBRA Y",
,HERRAMIENTA.(BAÑO),
CRTC-ALUM-003,"V3- VENTANA DE 0.70 x 0.40 (a x h), COMPUESTO",PZA
,POR DOS CORREDIZOS CON JALADERA DE,
,EMBUTIR; EN ALUMINIO NEGRO CON CRISTAL,
,CLARO DE 6 mm. INCLUYE: SUMINISTRO Y,
,"COLOCACIÓN, MANO DE OBRA Y",
,HERRAMIENTA.(BAÑO),
CRTC-ALUM-004,"V4- VENTANA DE 1.50 x 1.20 (a x h), COMPUESTO",PZA
,POR DOS CORREDIZOS CON JALADERA DE,
,EMBUTIR; EN ALUMINIO NEGRO CON CRISTAL,
,CLARO DE 6 mm. INCLUYE: SUMINISTRO Y,
,"COLOCACIÓN, MANO DE OBRA Y HERRAMIENTA.",
,(COCINA),
CRTC-ALUM-005,"V5- VENTANA DE 1.60 x 1.20 (a x h), COMPUESTO",PZA
,POR DOS CORREDIZOS CON JALADERA DE,
,EMBUTIR; EN ALUMINIO NEGRO CON CRISTAL,
,CLARO DE 6 mm. INCLUYE: SUMINISTRO Y,
,"COLOCACIÓN, MANO DE OBRA Y HERRAMIENTA.",
,(RECAMARA),
CRTC-ALUM-006,"V6- VENTANA DE 1.00 x 1.20 (a x h), COMPUESTO",PZA
,POR DOS CORREDIZOS CON JALADERA DE,
,EMBUTIR; EN ALUMINIO NEGRO CON CRISTAL,
,CLARO DE 6 mm. INCLUYE: SUMINISTRO Y,
,"COLOCACIÓN, MANO DE OBRA Y HERRAMIENTA.",
,(CUARTO DE SERVICO),
CRTC-ALUM-007,"V7- VENTANA IRREGULAR PARA DOBLE ALTURA,",PZA
,"4.00 M2 DE SUPERFICIE, FIJA; EN ALUMINIO",
,NEGRO CON CRISTAL CLARO DE 6 mm. INCLUYE:,
,"SUMINISTRO Y COLOCACIÓN, MANO DE OBRA Y",
,HERRAMIENTA. (SALA),
CRTC-ALUM-008,"P1- PUERTA DE 3.70 x 2.20 (a x h), COMPUESTO",PZA
,POR DOS CORREDIZOS CON JALADERA DE,
,EMBUTIR; EN ALUMINIO NEGRO CON CRISTAL,
,CLARO DE 6 mm. INCLUYE: SUMINISTRO Y,
,"COLOCACIÓN, MANO DE OBRA Y HERRAMIENTA.",
,(SALIDA A PATIO),
CRTC-ALUM-009,"P2- PUERTA DE 3.35 x 2.20 (a x h), COMPUESTO",PZA
,POR DOS CORREDIZOS CON JALADERA DE,
,EMBUTIR;; EN ALUMINIO NEGRO CON CRISTAL,
,CLARO DE 6 mm. INCLUYE: SUMINISTRO Y,
,"COLOCACIÓN, MANO DE OBRA Y HERRAMIENTA.",
,(SALIDA A TERRAZA),
CRTC-ALUM-010,"P3- PUERTA ABATIBLE DE 0.90 x 2.20 (a x h), CON",PZA
,JALADERA UNIVERSAL; EN ALUMINIO NEGRO,
,DUELA DOBLE. INCLUYE: SUMINISTRO Y,
,"COLOCACIÓN, MANO DE OBRA Y HERRAMIENTA.",
,(PATIO DE SERVICIO),
CRTC-ALUM-011,M1- CANCEL DE BAÑO EN CRISTAL TEMPLADO,PZA
,"CLARO DE 6 mm, COMPUESTO POR UNA",
,ABATIBLE DE 1.00 x 1.80 (a x h),
,RESPECTIVAMENTE. INCLUYE: SUMINISTRO Y,
,"COLOCACIÓN, MANO DE OBRA, HERRAMIENTA Y",
,EQUIPO. (BAÑO PRINCIPAL),
CRTC-ALUM-012,M2- CANCEL DE BAÑO EN CRISTAL TEMPLADO,PZA
,"CLARO DE 9 mm, COMPUESTO POR UN FIJO Y",
,UNA ABATIBLE DE 0.60 x 1.80 Y 0.60 x 1.80 (a x h),
,RESPECTIVAMENTE. INCLUYE: SUMINISTRO Y,
,"COLOCACIÓN, MANO DE OBRA, HERRAMIENTA Y",
,EQUIPO. (BAÑO POSTERIOR),
15,TOTAL 7. ALUMINIOS Y CRISTAL,
16,CARPINTERÍA,
CRTC-CARP-002,PUERTA INTERIOR ABATIBLE DE 0.70 A 1.00 M DE,PZA
,ANCHO x 2.20 DE ALTO. INCLUYE: SUMINISTRO Y,
,"COLOCACIÓN, MATERIALES, MANO DE OBRA,",
,HERRAMIENTA Y TODO LO NECESARIO PARA SU,
,CORRECTA INSTALACIÓN.,
CRTC-CARP-003,COCINA INTEGRAL. INCLUYE: SUMINISTRO Y,PZA
,"COLOCACIÓN, PUERTAS MODELO LINE BLANCO",
,"BRILLANTE INNOVIKA, PUERTAS MDF CHAPA DE",
,"PAROTA, MUEBLES INTERIORES BLANCO,",
,"BISAGRAS BIDIMENSIONALES, CORREDERAS",
,"TANDEMBOX MERIVOBOX, JALADERA DE",
,"ALUMINIO MODELO ANGARA, ESTRUCTURA",
,"METÁLICA EN ISLA, PISO ANTIFUGAS BAJO",
,FREGADERO.,
CRTC-CARP-005,CLOSET PARA RECÁMARA DE 1.95M DE LARGO.,PZA
,"INCLUYE: SUMINISTRO Y COLOCACIÓN, MUEBLE",
,"Y PUERTAS EN MULTIPLAY DE PAROTA,",
,"BISAGRAS, TERMINADO CON BARNIZ",
CRTC-CARP-006,CLOSET PARA RECÁMARA DE 2.50 M DE LARGO.,PZA
,"INCLUYE: SUMINISTRO Y COLOCACIÓN, MUEBLE",
,"Y PUERTAS EN MULTIPLAY DE PAROTA,",
,"BISAGRAS, TERMINADO CON BARNIZ.",
16,TOTAL CARPINTERÍA,
1,TOTAL CASA COMALA L13,
