Clave,Concepto,Unidad
,"AMARRES, DESPERDICIOS, MANO DE OBRA,",
,EQUIPO Y HERRAMIENTA.,
CRTC-CIM-027,ENRASE DE COLUMNA C-1 DE SECCIÓN 30X30 CM,M
,ARMADA CON 4 VARILLAS DE #4 Y 4 VARILLAS DE,
,"#3, ESTRIBOS DE #3 (7@10, @20 Y 7@10 CM);",
,CONCRETO F'C= 250 KG/CM². INCLUYE:,
,"SUMINISTRO DE LOS MATERIALES, ACARREOS,",
,"CORTES, TRASLAPES, AMARRES, DESPERDICIOS,",
,"MANO DE OBRA, EQUIPO Y HERRAMIENTA.",
CRTC-CIM-028,"TRABE DE LIGA TL-01 DE 0.20 x 0.40 M, DE",M
,"CONCRETO F´C= 250 KG/CM2, ARMADA CON 3",
,"VAR. DE #4"" EN EL LECHO SUPERIOR Y 2",
,"VARILLAS DE #4 EN LECHO INFERIOR, ESTRIBOS",
,"DE #3 @10 CM, 20 CM Y 10 CM. INCLUYE: MANO",
,"DE OBRA, EQUIPO, HERRAMIENTA Y CIMBRA.",
CRTC-CIM-029,"DALA DL DE SECCIÓN 15X20 CM, ARMADA CON 4",M
,VARILLAS DE #3 ESTRIBOS #2 @ 20 CM Y,
,CONCRETO F'C= 200 KG/CM2. INCLUYE:,
,"SUMINISTRO DE LOS MATERIALES, ACARREOS,",
,"CORTES, TRASLAPES, AMARRES, DESPERDICIOS,",
,"MANO DE OBRA, EQUIPO Y HERRAMIENTA.",
CRTC-CIM-030,RELLENO DE CEPAS CON MATERIAL PRODUCTO,M3
,DE LA EXCAVACIÓN EN CAPAS NO MAYORES A 20,
,CM; COMPACTADO CON PISÓN DE MANO.,
,"INCLUYE: VOLTEO CON PALA, MANO DE OBRA,",
,"HERRAMIENTA, ACARREO, RETIRO DE SOBRANTE",
,FUERA DE OBRA Y TODO LO NECESARIO PARA,
,SU CORRECTA EJECUCIÓN.,
CRTC-CIM-031,CARGA DE MATERIAL PRODUCTO DE,VIAJE
,"EXCAVACIÓN Y/O LIMPIEZA DE TERRENO, CON",
,MÁQUINA Y ACARREO EN CAMIÓN VOLTEO A,
,KILÓMETROS SUBSECUENTES AL PRIMERO.,
CRTC-CIM-032,SUMINISTRO Y COLOCACION DE,M
,IMPERMEABILIZANTE SELLOTEX HASTA 1.00 M DE,
,"ALTURA, INCLUYE SUMINISTRO DE MATERIALES,",
,"MANO DE OBRA, HERRAMIENTA Y TODO LO",
,NECESARIO PARA SU CORRECTA EJECUCIÓN.,
1,TOTAL PRELIMINARES Y CIMENTACION,
2,ALBAÑILERÍA OBRA NEGRA,
CRTC-ALBN-001,"CASTILLO K-a DE SECCIÓN 15x15 CM, CON",M
,ARMEX 15x15-4 Y CONCRETO F'C= 150 KG/CM2.,
,"INCLUYE: SUMINISTRO DE LOS MATERIALES,",
,"ACARREOS, CORTES, TRASLAPES, AMARRES,",
,"DESPERDICIOS, MANO DE OBRA, EQUIPO Y",
,HERRAMIENTA.,
CRTC-ALBN-002,"CASTILLO K-1 DE SECCIÓN 15x15 CM, ARMADO",M
,"CON 4 VAR. DE #3 Y ESTRIBOS DE #2 (6@10, @20,",
,"6@10 CM), Y CONCRETO F'C= 150 KG/CM2.",
,"INCLUYE: SUMINISTRO DE LOS MATERIALES,",
,"ACARREOS, CORTES, TRASLAPES, AMARRES,",
,"DESPERDICIOS, MANO DE OBRA, EQUIPO Y",
,HERRAMIENTA.,
CRTC-ALBN-003,"CASTILLO K-3 DE SECCIÓN 15x30 CM, ARMADO",M
,"CON 6 VAR. DE #3 Y ESTRIBOS DE #2 @10, 20, 10",
,"CM, Y CONCRETO F'C= 200 KG/CM2. INCLUYE:",
,"SUMINISTRO DE LOS MATERIALES, ACARREOS,",
,"CORTES, TRASLAPES, AMARRES, DESPERDICIOS,",
,"MANO DE OBRA, EQUIPO Y HERRAMIENTA.",
CRTC-ALBN-004,"CASTILLO K-3r DE SECCIÓN 15x30 CM, ARMADO",M
,"CON 6 VAR. DE #4 Y ESTRIBOS DE #2 @10, 20, 10",
,"CM, Y CONCRETO F'C= 200 KG/CM2. INCLUYE:",
,"SUMINISTRO DE LOS MATERIALES, ACARREOS,",
,"CORTES, TRASLAPES, AMARRES, DESPERDICIOS,",
,"MANO DE OBRA, EQUIPO Y HERRAMIENTA.",
CRTC-ALBN-005,"CASTILLO K-4r DE SECCIÓN 15x40CM, ARMADO",M
,"CON 8 VAR. DE #4 Y ESTRIBOS DE #2 @10, 20, 10",
,"CM, Y CONCRETO F'C= 200 KG/CM2. INCLUYE:",
,"SUMINISTRO DE LOS MATERIALES, ACARREOS,",
,"CORTES, TRASLAPES, AMARRES, DESPERDICIOS,",
,"MANO DE OBRA, EQUIPO Y HERRAMIENTA.",
CRTC-ALBN-006,"CASTILLO K-6 DE SECCIÓN 15x60CM, ARMADO",M
,"CON 10 VAR. DE #3 Y ESTRIBOS DE #2 @10, 20, 10",
,"CM, Y CONCRETO F'C= 200 KG/CM2. INCLUYE:",
,"SUMINISTRO DE LOS MATERIALES, ACARREOS,",
,"CORTES, TRASLAPES, AMARRES, DESPERDICIOS,",
,"MANO DE OBRA, EQUIPO Y HERRAMIENTA.",
CRTC-ALBN-007,REFUERZO PARA BAJANTE CON CASTILLO K-a DE,PZA
,"SECCIÓN 15x15 CM, DE ARMEX 15x15-4 Y",
,"CONCRETO F'C= 150 KG/CM2, COLADO DE",
,BAJANTE Y MALLA POLLERA EN AMBAS CARAS,
,"DE MURO EN SECCIÓN DE 50 CM DE ANCHO,",
,HASTA UNA ALTURA DE 3M. INCLUYE:,
,"SUMINISTRO DE LOS MATERIALES, ACARREOS,",
,"CORTES, TRASLAPES, AMARRES, DESPERDICIOS,",
,"MANO DE OBRA, EQUIPO Y HERRAMIENTA.",
CRTC-ALBN-008,ENCAMISADO DE TUBO PARA GAS EN TUBO DE,PZA
,"PVC DE 3"" Y CON CASTILLO K-a DE SECCIÓN",
,"15x15 CM, CON ARMEX 15x15-4, CONCRETO F'C=",
,150 KG/CM2 Y MALLA POLLERA EN AMBAS CARAS,
,DE MURO EN SECCIÓN DE HASTA 50 CM DE,
,ANCHO. A 3 METRO DE ALTURA. INCLUYE:,
,"SUMINISTRO DE LOS MATERIALES, ACARREOS,",
,"CORTES, TRASLAPES, AMARRES, DESPERDICIOS,",
,"MANO DE OBRA, EQUIPO Y HERRAMIENTA.",
CRTC-ALBN-009,COLUMNA C-1 DE SECCIÓN 30X30 CM ARMADA,M
,CON 4 VARILLAS DE #4 Y 4 VARILLAS DE #3,
,"ESTRIBOS DE #3 (7@10, @20 Y 7@10 CM);",
,CONCRETO F'C= 250 KG/CM². INCLUYE:,
,"SUMINISTRO DE LOS MATERIALES, ACARREOS,",
,"CORTES, TRASLAPES, AMARRES, DESPERDICIOS,",
,"MANO DE OBRA, EQUIPO Y HERRAMIENTA.",
CRTC-ALBN-010,MURO DE 15CM DE TABIQUE DE BARRO ROJO,M2
,"RECOCIDO DE 10X14X28 CM, ACABADO COMÚN,",
,ASENTADO CON MEZCLA MORTERO CEM-ARENA,
,"EN PROP. 1:5, CON ESPESOR DE JUNTA 2 CM.",
,"INCLUYE: FLETES, SUMINISTRO DE MATERIALES,",
,"ACARREOS, ELABORACIÓN DE MORTERO,",
,"CORTES DE TABICÓN, MOCHETAS, MANO DE",
,"OBRA, HERRAMIENTA Y TODO LO NECESARIO",
,PARA SU CORRECTA EJECUCIÓN.,
CRTC-ALBN-011,MURO REFORZADO MR1-C DE TABIQUE DE,M2
,"BARRO ROJO RECOCIDO DE 10 x 14 x 28 CM, DE",
,"28 CMS DE ESPESOR, ACABADO COMÚN,",
,ASENTADO CON MEZCLA MORTERO CEM-ARENA,
,"EN PROP. 1:5, CON ESPESOR DE JUNTA 2 CM Y",
,REFUERZO A UNA CARA CON MALLA,
,ELECTROSOLDADA 6X6/10-10 (VER DETALLE).,
,"INCLUYE: FLETES, SUMINISTRO DE MATERIALES,",
,"ACARREOS, ELABORACIÓN DE MORTERO,",
,"CORTES DE TABICÓN, MOCHETAS, MANO DE",
,"OBRA, RETIRO DE SOBRANTES FUERA DE LA",
,"OBRA Y HERRAMIENTA, LIMPIEZA, RETIRO DE",
